opportunity_id,category,code,created_at,currency_type,duration,duration_type,fee,image_link,is_archived,is_auto_approve,last_date_to_apply,location,long_description,microscholarship,modified_at,name,role,role_responsibility,short_description,summary,is_likely_test_data,has_badge,has_career_addon,has_panellist,has_dropout_transaction,has_not_started_transaction,num_cohorts,num_eligibility_criteria,num_rewards,num_testimonials,num_tracking_questions
Opportunity#000000001000VYENXHXY4WREJQ,Internship,IQ5RNTQ,2024-07-03 09:46:40,USD,3.0,Days,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010S6QAZ19401WRBDG0_image_link.jpg,,False,2025-10-09 08:53:20,Virtual,Long Description,10.0,2025-10-09 08:53:20,Test Cohort,Manager,,Short Description,,True,True,False,False,False,False,1,1,2,0,2
Opportunity#0000000010ZSD23KTSAQW79CMT,Course,U7PS2KK,2023-11-14 22:13:20,USD,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2023-11-14 22:13:20,Virtual,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2023-11-14 22:13:20,Course Automation 1695366081210,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,True,False,False,1,1,2,0,0
Opportunity#000000001003NQT7XX5H7MH80T,Masterclass,SR7J14O,2023-07-22 04:26:40,EUR,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2024-07-03 09:46:40,,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2024-07-03 09:46:40,Masterclass Automation 1688072924654,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,False,False,False,4,2,2,4,0
Opportunity#0000000010ZTJ800YSP4QVM15Y,Event,EM6QPI0,2025-02-19 21:20:00,USD,84.0,Minutes,89.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010ZTJ800YSP4QVM15Y_image_link.jpg,,False,2025-02-19 21:20:00,,Consectetur nisi mod,49.0,2025-02-19 21:20:00,Ea et dolore ratione,,,In eiusmod et est officiis aut et fuga Non voluptate amet eiusmod dicta nostrud sit velit aut,,False,True,False,True,False,False,1,1,2,0,3
Opportunity#000000001004N6FHK7NJ98G3XX,Event,EVJI7Z0,2024-07-03 09:46:40,USD,1.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010MHSMF54F9EQ4WCJR_image_link.png,,False,2024-07-03 09:46:40,Work From Home,qwert,120.0,2024-07-03 09:46:40,eligibility testing by harikesh,,,qwerty,,True,True,False,True,False,False,1,4,2,0,2
Opportunity#0000000010YKH21190PKTC57XC,Career,ACSJQWB,2025-02-19 21:20:00,USD,2.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010KX94VWMFGFKKKF2K_image_link.png,,True,2025-02-19 21:20:00,Virtual,Short Description,120.0,2025-02-19 21:20:00,Email testing,,TTT,Short Description,,True,True,True,False,False,False,1,2,1,0,3
Opportunity#000000001004R4NZHQX8VXK8VX,Career,A6B3ZC3,2024-03-09 16:00:00,USD,30.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010H4XWWX5679P8Y2XQ_image_link.jpeg,,False,2025-02-19 21:20:00,,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2024-10-27 03:33:20,Automation Career GPS Specific 1713620183686,,Testing and debugging,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,True,False,False,False,2,1,2,0,1
Opportunity#0000000010058SAPKQ5ZTE9ZPN,Internship,ISL91TI,2025-02-19 21:20:00,INR,1.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010058SAPKQ5ZTE9ZPN_image_link.jpg,,False,2025-06-15 15:06:40,Work From Home,Short Description,0.0,2025-02-19 21:20:00,TEsting007,,,Short Description,,False,True,False,False,False,False,1,2,4,0,3
Opportunity#000000001007A6NGTWVPKJVXDW,Career,A0KP35A,2026-05-28 20:26:40,USD,30.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_00000000106ER2EWX35H56Y4NQ_image_link.png,,False,2026-05-28 20:26:40,Virtual,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2026-05-28 20:26:40,Career Automation 1776247839487,,Testing and debugging,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,True,False,False,False,1,1,2,3,4
Opportunity#000000001007KKSWA21CNCY3YQ,JobSimulation,J4NP0LV,2025-10-09 08:53:20,EUR,1.0,Months,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010HABMQA2Z940JRSNC_image_link.png,,False,2025-10-09 08:53:20,Virtual,Long DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong DescriptionLong Description,0.0,2025-10-09 08:53:20,New Job Simulation E2E,,,Short DescriptionShort DescriptionShort DescriptionShort DescriptionShort DescriptionShort DescriptionShort DescriptionShort DescriptionShort DescriptionShort DescriptionShort DescriptionShort Descrip,,False,True,False,False,False,False,1,1,2,0,4
Opportunity#0000000010089GYK3FRQZR81F2,Career,AZEZWCW,2023-11-14 22:13:20,USD,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2023-11-14 22:13:20,Work From Home,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2023-11-14 22:13:20,Automation Career GPS 1698993837777,,Testing and debugging,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,True,False,False,False,1,1,2,0,0
Opportunity#0000000010YMGNZNF828EP0KWE,JobSimulation,JDZGYZR,2024-03-09 16:00:00,USD,30.0,Weeks,1.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010WZJYYR2T012CD7TS_image_link.jpeg,,False,2024-03-09 16:00:00,Virtual,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2024-03-09 16:00:00,Job Simulation Automation 1709281685450,Manager,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,False,False,False,1,1,2,0,0
Opportunity#0000000010094GT5P3XM77Q2Y5,Career,ADK936H,2023-07-22 04:26:40,USD,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2023-11-14 22:13:20,Work From Home,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2023-07-22 04:26:40,Career Automation 1690960989626,,Managing Teaching Head,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,True,False,False,False,4,1,2,3,0
Opportunity#00000000100A16YWG38P65C2DW,Internship,IJA0JW9,2025-10-09 08:53:20,INR,1.0,Months,10.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_00000000104Q7P7Z2GK6ZE5RZ7_image_link.jpeg,,False,2025-10-09 08:53:20,Virtual,long,1000.0,2025-10-09 08:53:20,Test 1,Intern,,short,,True,True,False,False,False,False,1,1,2,0,4
Opportunity#0000000010YPF89PAJVYPZ1ETD,Career,AWRQCJI,2023-07-22 04:26:40,USD,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2023-11-14 22:13:20,Virtual,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2023-07-22 04:26:40,Career Automation 1693844444768,,Testing and debugging,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,True,False,False,False,1,1,2,0,0
Opportunity#00000000100A6W88AX6SSEE9SV,Internship,IU7F4OG,2026-05-28 20:26:40,USD,2.0,Months,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010Z1Y2QB9NDKT0HN8A_image_link.jpg,,False,2026-05-28 20:26:40,Virtual,Short Description,120.0,2026-05-28 20:26:40,badge test,,,Short Description,,True,True,False,False,False,False,1,1,1,0,4
Opportunity#00000000100AS28F5652VWP7S4,Internship,I3QO69Z,2025-10-09 08:53:20,USD,13.0,Months,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_000000001032QXNRPW4H510Z3M_image_link.png,,False,2025-10-09 08:53:20,,Deserunt aliquid ull,97.0,2025-10-09 08:53:20,Opportunity name - 12345678,,,Et temporibus illo dolores excepteur quia vitae pariatur Debitis possimus,,False,True,False,False,False,False,1,1,2,0,4
Opportunity#00000000100BM4MXVE221KJEE3,Competition,MWU9371,2025-02-19 21:20:00,USD,30.0,Weeks,1.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010E0DADE3J75A4E0D4_image_link.png,,True,2025-06-15 15:06:40,Virtual,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2025-02-19 21:20:00,Team Competition Automation 1741708148925,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,False,False,False,1,1,2,0,4
Opportunity#00000000100D0TSX32GGRYRSEM,Engagement,N6L8LOT,2024-10-27 03:33:20,USD,30.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010JKB2A94GXFPBC674_image_link.png,,False,2024-10-27 03:33:20,,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",3000.0,2024-10-27 03:33:20,Engagement Automation Edit 1726126615203,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,False,False,False,1,1,2,0,3
Opportunity#000000001099M76FK0SA072KYE,Career,A1SF963,2023-11-14 22:13:20,USD,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2023-11-14 22:13:20,Virtual,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2023-11-14 22:13:20,Career Automation 1700371191742,,Testing and debugging,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,True,False,False,False,1,1,2,0,0
Opportunity#000000001000ET3YQ33TY8CYQT,Internship,IGVBI02,2026-02-02 02:40:00,USD,13.0,Hours,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010Z6FCQ9DY2HG46356_image_link.jpg,,False,2026-02-02 02:40:00,Virtual,Dolor et minim repre,68.0,2026-02-02 02:40:00,Test091201,,,Tempor quaerat sunt impedit voluptatem officia voluptatibus consectetur do nulla aut aut nihil,,False,True,False,False,False,False,1,1,1,0,4
Opportunity#00000000100DQ2FP37Q49X4NN2,Internship,ITIQO90,2025-10-09 08:53:20,USD,20.0,Days,20.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_00000000100DQ2FP37Q49X4NN2_image_link.png,,False,2025-10-09 08:53:20,Work From Home,nsdvknsdkvjdsdnvkl,100.0,2025-10-09 08:53:20,Manage object testing,Manager,,skdnvksv,,True,True,False,False,False,False,1,1,1,0,4
Opportunity#0000000010E0W3QAN1G9KQD933,Course,USTKANN,2023-07-22 04:26:40,USD,1.0,Days,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2023-07-22 04:26:40,Virtual,Long Description,149.0,2023-07-22 04:26:40,Testing One,,,Short Description,,True,True,False,True,False,False,1,1,1,0,0
Opportunity#0000000010YRHEB01R4DY2KRJ3,Event,EGW4W49,2026-02-02 02:40:00,USD,30.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010T6HFZNY8D0Z99R8W_image_link.png,,False,2026-02-02 02:40:00,,Long DescriptionLong DescriptionLong Descriptionv,0.0,2026-02-02 02:40:00,Event Automation 1714671563734,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,True,False,False,1,1,1,0,2
Opportunity#00000000100DTSNS4NGZXZ2FN0,Competition,ML49EJQ,2023-07-22 04:26:40,USD,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2023-07-22 04:26:40,Work From Home,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2023-07-22 04:26:40,Team Competition Automation 1691225507595,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,False,False,False,1,1,2,0,0
Opportunity#00000000101NPSAJXGDXAZ7JEB,Engagement,N82GZPD,2023-11-14 22:13:20,USD,4.0,Hours,0.0,sd,,True,2023-11-14 22:13:20,Work From Home,sdfeg,1111.0,2023-11-14 22:13:20,engagement24,,,zdssdfg,,False,True,False,False,False,False,1,1,1,0,0
